batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
1,0,26.7727,31.1295,129,4.14,2,None
1,1,51.3121,54.0785,61,1.13,1,None
1,2,28.6559,32.6349,86,2.64,1,None
1,3,59.9762,62.2432,52,0.84,1,None
1,4,76.7084,78.2835,43,0.55,2,None
1,5,55.0267,56.6049,39,0.69,1,None
1,6,13.032,14.328,52,3.63,3,None
1,7,92.9767,94.183,30,0.32,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
2,0,47.4378,51.6033,76,1.47,1,None
2,1,43.8543,47.9985,74,1.54,1,None
2,2,15.5254,17.1897,63,3.66,3,None
2,3,7.7254,12.7763,109,8.53,1,None
2,4,43.9044,45.7122,42,0.92,1,None
2,5,21.7445,23.1845,37,1.6,1,None
2,6,40.422,58.7786,368,6.26,1,None
2,7,83.0563,85.7343,86,1.0,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
3,0,78.4534,79.9218,34,0.43,1,None
3,1,46.2215,48.2096,43,0.89,1,None
3,2,21.4535,22.2874,30,1.35,3,None
3,3,67.4618,68.5875,39,0.57,2,None
3,4,100.643,115.8147,281,2.43,1,None
3,5,52.6188,57.2382,92,1.61,1,None
3,6,93.4694,94.9649,31,0.33,2,None
3,7,30.9701,32.0846,43,1.34,4,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
4,0,74.6429,77.3897,57,0.74,1,None
4,1,37.1046,40.8785,63,1.54,1,None
4,2,30.5153,33.7139,66,1.96,1,None
4,3,22.1385,23.1608,43,1.86,4,None
4,4,78.4906,80.8195,50,0.62,1,None
4,5,37.7124,39.1184,50,1.28,3,None
4,6,11.443,14.0874,58,4.12,4,None
4,7,1.3112,21.2219,434,20.45,2,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
5,0,95.3959,96.9853,52,0.54,2,None
5,1,68.2515,70.3248,47,0.67,1,None
5,2,94.1742,98.4143,84,0.85,1,None
5,3,130.1489,134.3043,96,0.71,1,None
5,4,55.965,62.569,117,1.87,1,None
5,5,75.9347,79.5821,73,0.92,2,None
5,6,124.959,128.6313,127,0.99,2,None
5,7,58.1853,66.1901,134,2.02,2,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
6,0,84.4819,85.6914,33,0.39,1,None
6,1,49.1974,51.6761,53,1.03,1,None
6,2,10.6003,12.6031,76,6.03,4,None
6,3,40.8869,42.9435,67,1.56,2,None
6,4,31.7626,37.3486,101,2.7,1,None
6,5,41.4412,50.9393,185,3.63,2,None
6,6,33.2605,36.3987,66,1.81,1,None
6,7,39.8778,41.8228,51,1.22,2,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
7,0,67.819,70.396,54,0.77,1,None
7,1,19.5766,22.083,74,3.35,2,None
7,2,49.9846,53.6133,73,1.36,1,None
7,3,77.6148,79.387,37,0.47,2,None
7,4,65.1171,72.0445,124,1.72,1,None
7,5,108.4147,110.1728,47,0.43,1,None
7,6,14.7177,18.2136,75,4.12,1,None
7,7,69.1864,70.1726,40,0.57,3,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
8,0,20.2257,36.2996,464,12.78,2,None
8,1,43.2542,47.1696,62,1.31,1,None
8,2,43.7482,46.1311,49,1.06,1,None
8,3,46.276,48.517,52,1.07,2,None
8,4,59.7403,60.0744,12,0.2,1,None
8,5,15.6386,194.6022,4121,21.18,2,None
8,6,88.7116,91.1247,59,0.65,1,None
8,7,31.5282,35.8557,69,1.92,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
9,0,71.4307,75.5312,78,1.03,2,None
9,1,83.9861,85.0218,26,0.31,1,None
9,2,137.2183,139.5365,33,0.24,1,None
9,3,158.5012,159.6294,38,0.24,2,None
9,4,114.9158,116.2842,37,0.32,2,None
9,5,101.1524,104.3892,63,0.6,1,None
9,6,120.8251,121.6786,34,0.28,2,None
9,7,41.3385,44.3342,43,0.97,1,None
