batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
1,0,0.712,3.2889,80,24.32,3,None
1,1,18.7605,20.5668,41,1.99,1,None
1,2,26.5614,36.5442,195,5.34,1,None
1,3,4.6868,18.0718,268,14.83,1,None
1,4,4.735,9.1047,92,10.1,1,None
1,5,0.6679,2.7869,61,21.89,3,None
1,6,0.7997,1.8555,32,17.25,3,None
1,7,0.7465,4.7213,82,17.37,2,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
2,0,46.5769,51.2285,144,2.81,1,None
2,1,0.6666,1.9348,11,5.69,1,None
2,2,0.569,44.2891,236,5.33,1,None
2,3,2.391,14.9458,251,16.79,1,None
2,4,31.9267,38.6172,131,3.39,1,None
2,5,0.7144,4.8006,86,17.91,1,None
2,6,65.79,70.9939,181,2.55,1,None
2,7,18.9858,30.839,233,7.56,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
3,0,46.7691,59.9529,250,4.17,1,None
3,1,52.8097,60.9757,150,2.46,1,None
3,2,14.6863,45.3339,110,2.43,2,None
3,3,60.6903,67.4678,119,1.76,1,None
3,4,0.5356,36.0923,1083,30.01,2,None
3,5,5.2109,27.8124,442,15.89,1,None
3,6,5.211,39.4779,649,16.44,1,None
3,7,72.2893,89.5325,395,4.41,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
4,0,31.4504,39.3344,182,4.63,1,None
4,1,6.031,42.2162,162,3.84,1,None
4,2,19.5557,23.8408,93,3.9,1,None
4,3,4.1791,6.6014,53,8.03,1,None
4,4,4.1794,18.7559,285,15.2,1,None
4,5,4.2252,5.6943,36,6.32,1,None
4,6,4.1251,13.3827,187,13.97,1,None
4,7,1.7392,3.6327,72,19.82,2,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
5,0,18.9504,32.7066,263,8.04,1,None
5,1,11.2269,16.8059,114,6.78,1,None
5,2,2.3934,55.5238,1037,18.68,1,None
5,3,2.5511,10.5907,163,15.39,1,None
5,4,17.3499,274.7744,8090,29.44,1,None
5,5,39.9385,47.6154,148,3.11,1,None
5,6,33.4991,53.1427,391,7.36,1,None
5,7,2.5042,18.2384,305,16.72,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
6,0,74.4734,78.946,131,1.66,1,None
6,1,8.8526,16.1376,146,9.05,1,None
6,2,2.4488,8.2777,122,14.74,1,None
6,3,51.0715,58.3315,136,2.33,1,None
6,4,34.4139,46.8649,233,4.97,1,None
6,5,57.457,63.5659,124,1.95,1,None
6,6,2.6363,226.3027,6432,28.42,1,None
6,7,7.2913,8.7909,33,3.75,2,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
7,0,26.2521,32.9062,132,4.01,1,None
7,1,3.3673,25.198,419,16.63,1,None
7,2,33.5024,36.6837,65,1.77,1,None
7,3,11.3028,40.8996,564,13.79,1,None
7,4,3.5597,10.7258,146,13.61,1,None
7,5,113.9363,119.9951,206,1.72,1,None
7,6,3.5073,50.2948,997,19.82,1,None
7,7,3.4611,7.2108,81,11.23,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
8,0,24.7999,32.3183,137,4.24,1,None
8,1,1.7935,8.4783,137,16.16,1,None
8,2,64.9551,69.0287,122,1.77,1,None
8,3,2.5926,28.0885,481,17.12,1,None
8,4,1.9939,2.1938,12,5.47,1,None
8,5,29.003,42.9387,308,7.17,1,None
8,6,9.1003,23.9681,290,12.1,1,None
8,7,1.8404,144.54,4097,28.35,1,None
batch_number,user_id,Firsttoken time,Total wait time,Total tokens,Token per second,Attempts,Error
9,0,21.3581,29.3912,156,5.31,1,None
9,1,6.6589,15.9486,186,11.66,1,None
9,2,3.6896,22.2952,365,16.37,1,None
9,3,3.5939,26.7534,440,16.45,1,None
9,4,3.7948,6.3149,58,9.18,1,None
9,5,38.4795,39.7006,51,1.28,1,None
9,6,16.7261,21.0073,87,4.14,1,None
9,7,3.443,30.8815,153,4.95,1,None
